A Symonds,PD Collingwood	0.25,0.375,0.125,0.0,0.125,0.125,1.0
A Symonds,PJ Sangwan	0.4,0.4,0.0,0.0,0.2,0.0,1.0
A Symonds,PP Chawla	0.24,0.44,0.24,0.0,0.0,0.08,1.0
A Symonds,PP Ojha	0.625,0.375,0.0,0.0,0.0,0.0,1.0
A Symonds,Pankaj Singh	0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0
A Symonds,R Ashwin	0.3125,0.4375,0.0625,0.0,0.0625,0.0625,0.9375
A Symonds,R Bhatia	0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Symonds,R McLaren	0.375,0.125,0.25,0.0,0.125,0.0,0.875
A Symonds,R Sharma	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Symonds,R Vinay Kumar	0.2727272727272727,0.36363636363636365,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,1.0
A Symonds,RA Jadeja	0.3333333333333333,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,0.8888888888888888
A Symonds,RE van der Merwe	0.5,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.9166666666666666
A Symonds,RJ Harris	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Symonds,RR Powar	0.5555555555555556,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.0,1.0
A Symonds,S Ladda	0.4,0.4,0.0,0.0,0.0,0.2,1.0
A Symonds,S Narwal	0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,0.0,1.0
A Symonds,S Randiv	0.625,0.125,0.125,0.0,0.125,0.0,1.0
A Symonds,S Sreesanth	0.16666666666666666,0.25,0.08333333333333333,0.0,0.25,0.25,1.0
A Symonds,SB Jakati	0.4,0.2,0.2,0.0,0.1,0.1,1.0
A Symonds,SE Bond	0.625,0.125,0.125,0.0,0.125,0.0,1.0
A Symonds,SJ Srivastava	0.42857142857142855,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,1.0
A Symonds,SK Raina	0.5,0.5,0.0,0.0,0.0,0.0,1.0
A Symonds,SK Trivedi	0.09523809523809523,0.47619047619047616,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.09523809523809523,0.9523809523809523
A Symonds,SK Warne	0.23684210526315788,0.42105263157894735,0.13157894736842105,0.02631578947368421,0.07894736842105263,0.10526315789473684,1.0
A Symonds,SL Malinga	0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.8333333333333334
A Symonds,SR Watson	0.625,0.25,0.0,0.0,0.125,0.0,1.0
A Symonds,SW Tait	0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
A Symonds,T Thushara	0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
A Symonds,TM Dilshan	0.4,0.2,0.0,0.0,0.0,0.4,1.0
A Symonds,UT Yadav	0.4166666666666667,0.4166666666666667,0.0,0.0,0.16666666666666666,0.0,1.0
A Symonds,V Kohli	0.375,0.375,0.125,0.0,0.0,0.125,1.0
A Symonds,VY Mahesh	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Symonds,WA Mota	0.3333333333333333,0.4166666666666667,0.25,0.0,0.0,0.0,1.0
A Symonds,WD Parnell	0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1.0
A Symonds,Y Nagar	0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.16666666666666666,1.0
A Symonds,YK Pathan	0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0
A Symonds,Yuvraj Singh	0.26666666666666666,0.4666666666666667,0.13333333333333333,0.0,0.0,0.0,0.8666666666666667
A Symonds,Z Khan	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Uniyal,DP Nannes	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Uniyal,S Ladda	0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
A Uniyal,SL Malinga	0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Bilakhia,A Kumble	0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0
AA Bilakhia,A Mishra	0.36363636363636365,0.45454545454545453,0.09090909090909091,0.0,0.0,0.0,0.9090909090909091
AA Bilakhia,A Nehra	0.5384615384615384,0.15384615384615385,0.23076923076923078,0.0,0.07692307692307693,0.0,1.0
